Pertanyaan;Jawaban
Apakah karyawan yang sudah pensiun tetapi masih bekerja sebagai komisaris dan menerima gaji harus tetap dimasukkan dalam perhitungan PSAK 219?;"Tidak. Karyawan yang telah pensiun dan diangkat sebagai komisaris tidak lagi masuk dalam perhitungan aktuaria PSAK 219 karena hubungan mereka dengan perusahaan berubah menjadi hubungan profesional, bukan lagi karyawan. Namun, jika perusahaan memiliki kebijakan memberikan tunjangan pasca kerja kepada komisaris, kewajiban tersebut tetap harus dihitung, tetapi secara terpisah dari kewajiban aktuaria karyawan.

Sesuai Pasal 15 UU 40/2007, komisaris dan direksi bukan bagian dari karyawan, sehingga tidak berhak atas imbalan kerja sesuai PSAK 219, kecuali ada kebijakan perusahaan yang secara khusus mengatur tunjangan mereka."
Bagaimana mutasi karyawan akan berdampak pada nilai Biaya Jasa Lalu dan OCI suatu perusahaan?;"• Untuk karyawan keluar, jika cadangan yang dicatat > realisasi, selisihnya akan diakui pada kurtailmen sebagai penyelesaian. Namun, jika cadangan yang dicatat < realisasi, selisihnya akan diakui pada biaya jasa lalu.
• Untuk karyawan masuk, akan diakui pada biaya jasa lalu sebesar PVDBO - CSC."
Apa yang dimaksud dengan Biaya Jasa Lalu dan Biaya Jasa Kini? Bagaimana cara perhitungannya menurut PSAK 219 untuk karyawan tetap?;"1. Biaya jasa lalu (Past Service Cost) adalah biaya yang muncul ketika perusahaan baru pertama kali mencatat kewajiban imbalan kerja secara menyeluruh atau terjadi perubahan besar, seperti perubahan kebijakan cuti besar, restruktur kompensasi, mutasi karyawan, perubahan pada metode / asumsi, atau revisi program pensiun. 
Berikut adalah ketentuan mengenai biaya jasa lalu untuk penerapan pertama kali:
 • Jika masa kerja < 1 tahun: Biaya Jasa Lalu = 0
 • Jika masa kerja ≥ 1 tahun: Biaya Jasa Lalu = PVDBO – CSC
Biaya jasa lalu biasanya langsung diakui dalam laba rugi jika tidak vested atau diamortisasi jika vested.

2. Biaya jasa kini (Current Service Cost) adalah biaya atas manfaat pensiun yang ""ditabung"" perusahaan untuk karyawan selama periode berjalan. Dihitung berdasarkan asumsi aktuaria (kenaikan gaji, usia, diskonto, dan lainnya). Faktor yang bisa meningkatkan CSC, seperti:
 • Tambahan pajak dari manfaat
 • Penurunan suku bunga (discount rate)
 • Kenaikan gaji aktual lebih tinggi dari asumsi
 • Perubahan manfaat (misalnya tunjangan pensiun baru).

Rumusnya:
CSC = PVFB / MK
dimana
PVFB = present value of Future Benefit atau nilai sekarang dari estimasi manfaat masa depan
MK = total masa kerja hingga karyawan mencapai Usia pensiun normal"
Mengapa nilai Other Comprehensive Income (OCI) hanya mencakup karyawan tetap, dan bagaimana perlakuan serta penyajian keuntungan / kerugian aktuarial?;Nilai OCI hanya mencakup karyawan tetap karena merekalah yang umumnya menerima manfaat jangka panjang seperti pensiun atau imbalan pasca kerja, yang menjadi sumber timbulnya keuntungan atau kerugian aktuaria.
Apakah karyawan kontrak / PKWT berdampak kepada OCI?;"Pada dasarnya perhitungan karyawan kontrak tidak diatur jelas dalam standar praktik imbalan kerja. Sebagian KKA tidak memakai OCI karena menganggap itu bagian dari OLTEB. Kelebihan atau kekurangan kewajiban masuk di laporan laba rugi.

Tapi kami, KKA Nirmala disini memakai nilai OCI karena menilai kompensasi karyawan kontrak masuk kategori imbalan pasca kerja. Perhitungannya juga menggunakan Projected Unit Credit dengan nilai manfaat sebesar proporsi masa kerja x gaji yang menggunakan asumsi diskonto dan probabilitas. Perbedaan asumsi juga akan menimbulkan OCI.

Umumnya, perlakuannya disesuaikan dengan ketentuan kontrak setiap perusahaan."
Mengapa karyawan yang di atas usia pensiun masih masuk dalam perhitungan?;Selama karyawan tersebut belum menerima pesangon atas usia pensiunnya dan/ memang masih bekerja, perusahaan masih memiliki kewajiban untuk mencadangkan pesangon tersebut sehingga karyawan tersebut tetap dihitung dalam perhitungan PSAK 219.
Bila memiliki DPLK, data terkait apa saja yang dibutuhkan untuk perhitungan?;"1. Jika DPLK DKP (Dana Kompensasi Pesangon) : Kami membutuhkan data berupa saldo akhir DPLK per periode perhitungan, realisasi pembayaran manfaat, iuran DPLK, dan ROI rate dari DPLK.
2. JIka DPLK PPIP (Program Pensiun Iuran Pasti) : Kami membutuhkan data berupa saldo akhir DPLK per periode perhitungan, iuran DPLK,  dan ROI rate dari DPLK."
Apa yang perlu diperhatikan jika perhitungan IPK termasuk imbalan jangka panjang lainnya (OLTEB) dan DPLK?;"1. Pastikan aturan mengenai imbalan jangka panjang lainnya, seperti Cuti Besar (CBS) dan Penghargaan Emas, sudah ditetapkan dalam kebijakan perusahaan.
2. Jika karyawan terdaftar dalam DPLK, kewajiban pensiun sebagian dapat ditanggung oleh DPLK, sehingga perusahaan hanya perlu mencatat kewajiban tambahan yang belum ditanggung oleh dana pensiun tersebut.
3. Imbalan Jangka Panjang lainnya, seperti CBS yang belum digunakan, juga harus diperhitungkan dalam kewajiban perusahaan. 
   • Karyawan yang memiliki CBS akan memiliki kewajiban tambahan.
   • Karyawan yang non-CBS mungkin memiliki kewajiban yang lebih kecil.
4. Jika perusahaan telah melakukan perhitungan sebelumnya, pastikan bahwa perhitungan telah mencakup seluruh komponen ini agar nilai kewajiban yang diakui dalam laporan keuangan tetap sesuai dengan standar PSAK 219."
Bagaimana cara perusahaan menghitung kewajiban untuk karyawan yang tidak memiliki hak cuti besar dan tidak terdaftar dalam DPLK?;Perusahaan hanya perlu menghitung kewajiban berdasarkan masa kerja, gaji yang berlaku, dan asumsi aktuaria terkait, tanpa adanya tambahan dari hak cuti besar atau kontribusi DPLK.
Apa yang harus diperhatikan dari kewajiban untuk karyawan non-DPLK?;Karyawan non-DPLK tidak memiliki dana pensiun tambahan yang didanai oleh pihak ketiga, sehingga seluruh kewajiban imbalan kerja harus ditanggung oleh perusahaan. Ini berarti bahwa perusahaan perlu mencadangkan seluruh biaya pensiun karyawan tersebut dalam laporan keuangan mereka.
Bagaimana perbedaan perhitungan kewajiban antara karyawan yang memiliki CBS dan non-CBS?;Untuk karyawan yang memiliki CBS, kewajiban imbalan kerja mencakup biaya tambahan yang terkait dengan hak cuti besar yang belum digunakan. Sebaliknya, karyawan non-CBS tidak memiliki komponen tambahan ini, sehingga nilai kewajibannya mungkin lebih rendah. Jika seorang karyawan memutuskan untuk tidak menggunakan hak CBS, kewajiban tersebut tetap dicatat hingga hak tersebut kadaluarsa atau dibayarkan oleh perusahaan.
Apakah perusahaan dapat mengubah kebijakan CBS atau DPLK di tengah masa kerja karyawan, dan bagaimana ini mempengaruhi perhitungan kewajiban?;Bisa saja, namun perubahan ini tetap dilakukan sesuai dengan peraturan ketenagakerjaan yang berlaku dan harus disosialisasikan kepada karyawan. Setiap perubahan dalam kebijakan terkait dapat mempengaruhi perhitungan kewajiban imbalan kerja dan perlu diperhitungkan dalam laporan keuangan sesuai dengan ketentuan yang berlaku.
Bagaimana ketentuan mengenai realisasi pembayaran karyawan kontrak?;Untuk karyawan kontrak, perlu dipastikan apakah realisasi pembayaran kompensasi dilakukan setiap akhir kontrak—baik bagi karyawan yang kontraknya diperpanjang maupun yang tidak—atau hanya saat karyawan keluar dari perusahaan.
Bagaimana cara menentukan asumsi kenaikan gaji dalam perhitungan IPK?;"Asumsi kenaikan gaji umumnya ditentukan berdasarkan:
1. Rata-rata kenaikan gaji historis perusahaan dalam beberapa tahun terakhir.
2. Kenaikan UMK di wilayah operasional perusahaan.
3. Tingkat inflasi dalam beberapa tahun terakhir.
4. Rencana kenaikan gaji ke depan, berdasarkan kebijakan internal atau surat resmi dari manajemen perusahaan (management letter).
5. Asumsi tahun sebelumnya, bila masih relevan dan belum berubah signifikan."
Apakah terdapat perbedaan perhitungan yang digunakan jika dibandingkan dengan KKA lain?;Setiap KKA, dalam melakukan perhitungan IPK dihitung menggunakan metode yang sama, sesuai dengan yang diprasyaratkan dalam PSAK 219, namun umumnya terdapat perbedaan dalam pendekatan menghitung usia yang akan digunakan dalam menghitung kewajiban.
Mengapa hasil perhitungan tahun valuasi lebih tinggi dibandingkan tahun sebelumnya?;"Berikut adalah beberapa faktor yang dapat menyebabkan kenaikan nilai pada kewajiban:
1. Bertambahnya usia setiap karyawan
2. Bertambahkan masa kerja setiap karyawan
3. Penurunan asumsi usia pensiun normal
4. Perbedaan pengakuan usia pada tanggal valuasi (sebagai contoh, penggunaan usia tepat dibandingkan dengan pembulatan usia).
5. Penurunan tingkat diskonto.
6. Kenaikan gaji aktual yang lebih besar daripada asumsi.
7. Penambahan komponen pajak dalam perhitungan.
8. Perubahan manfaat IPK yang digunakan (penambahan manfaat)."
Mengapa ada perbedaan antara salary increase rate yang digunakan dalam laporan dan aktual kenaikan gaji?;"Perbedaan tersebut bisa terjadi karena dalam laporan merupakan asumsi jangka panjang, sedangkan kenaikan gaji aktual dapat dipengaruhi oleh faktor-faktor eksternal dan kebijakan perusahaan dalam jangka pendek. Dalam perhitungan, rate yang digunakan untuk memproyeksikan kewajiban di masa depan dengan mempertimbangkan:
1. Tren historis – Pola kenaikan gaji rata-rata dalam beberapa tahun terakhir.
2. Inflasi & kondisi ekonomi – Perkiraan pertumbuhan ekonomi yang mempengaruhi upah.
3. Historis karyawan – Kenaikan gaji berdasarkan tingkat jabatan, performa, dan masa kerja.
4. Kebijakan perusahaan – Rencana kompensasi jangka panjang.

Oleh karena itu, jika rate mengalami kenaikan / penurunan aktual dari asumsi dalam laporan aktuaria, maka dapat terjadi deviasi yang akan dikoreksi dalam penyesuaian aktuaria berikutnya."
Apakah nilai kewajiban dapat diperkecil?;"Nilai kewajiban imbalan kerja dalam PSAK 219 bisa diperkecil dengan beberapa strategi, tetapi harus tetap sesuai dengan prinsip aktuaria dan standar akuntansi. 

Berikut adalah beberapa faktor yang dapat mengurangi nilai kewajiban:
1.Mengubah Asumsi Aktuaria
   • Meningkatkan tingkat diskonto → Semakin tinggi diskonto, semakin kecil kewajiban.
   • Menurunkan asumsi kenaikan gaji → Kewajiban turun jika proyeksi kenaikan gaji lebih rendah.
   • Menyesuaikan asumsi mortalitas & turnover → Turnover tinggi atau angka mortalitas tinggi dapat mengurangi manfaat yang harus dibayarkan.
2. Menyesuaikan Kebijakan Manfaat
   • Mengurangi atau membatasi manfaat (contohnya, membatasi pesangon atau manfaat kesehatan pasca kerja)
   • Menerapkan batas maksimal manfaat
3. Menggunakan Curtailment atau Settlement
   • Curtailment → Penurunan signifikan yang dilakukan oleh entitas dalam hal jumlah pekerja yang ditanggung oleh program
   • Settlement → Menyelesaikan kewajiban lebih awal, misalnya dengan pembayaran lump sum atau membeli polis asuransi pensiun

Namun, perubahan ini harus dipertimbangkan secara hati-hati agar tetap sesuai dengan regulasi ketenagakerjaan dan tidak berdampak negatif pada kesejahteraan karyawan."
Apa itu Curtailment dalam perhitungan PSAK 219? Dan apa dampaknya pada laporan keuangan Perusahaan?;"Kurtailmen (curtailment) terjadi ketika perusahaan melakukan tindakan yang secara signifikan mengurangi jumlah karyawan yang berhak atas imbalan pasca kerja. Nilai ini berdampak pada estimasi nilai kewajiban / PVDBO yang  mengakibatkan keuntungan atau kerugian yang harus segera diakui dalam laporan laba rugi.

Kurtailmen merupakan bagian dari biaya jasa lalu ketika ada penurunan signifikan yang dilakukan oleh entitas dalam hal jumlah pekerja yang ditanggung oleh program."
Apakah ada keuntungan bagi perusahaan dalam menghitung CBS atau mendaftarkan karyawan ke dalam DPLK terkait perhitungan kewajiban?;Menghitung CBS dapat meningkatkan kewajiban imbalan jangka panjang lainnya, tetapi juga dapat membantu dalam retensi karyawan. Selain itu, mendaftarkan karyawan ke DPLK dapat mengurangi kewajiban perusahaan karena sebagian dari beban pensiun ditanggung oleh pihak ketiga, yang bisa mengurangi beban finansial perusahaan dalam jangka panjang. 
Bagaimana perhitungan kewajiban apabila karyawan terdaftar dalam DPLK dan pencatatannya dalam laporan keuangan?;"1. DPLK DKP : Total saldo DPLK akhir periode dapat digunakan pengurang kewajiban, sehingga yang dicatat dalam laporan IPK hanya sisa kewajiban setelah dikurangi saldo DPLK yang tersedia. Imbal hasil dari DPLK akan dicatat sebagai pengurang di laba rugi.
    • Jika liabilitas > DPLK DKP, selisihnya masih harus dicatat sebagai kewajiban di neraca.
    • Jika liabilitas ≤ DPLK DKP, maka kewajiban di neraca bisa dianggap nol, karena sudah ter-cover oleh dana yang terkumpul di DPLK dan akan muncul dampak batas atas aset.
2. DPLK PPIP : Saldo DPLK akhir periode masing-masing karyawan akan diproyeksikan sampai usia pensiun dan dapat digunakan pengurang kewajiban, sehingga yang dicatat dalam laporan IPK hanya sisa kewajiban setelah dikurangi saldo DPLK yang tersedia."
Apakah ada perubahan dalam perhitungan kewajiban jika karyawan menggunakan sebagian hak Imbalan Jangka Panjang Lainnya (OLTEB) sebelum pensiun?;"Jika karyawan mengambil sebagian hak itu sebelum pensiun (misalnya cuti besar dibayar atau penghargaan masa kerja), maka:
 • Kewajiban perusahaan berkurang, karena sebagian manfaat sudah dibayar.
 • Namun, sisa hak yang belum digunakan tetap harus dihitung dalam kewajiban aktuarial.
 • Penyesuaian dilakukan dengan mengurangi proyeksi manfaat berdasarkan hak yang sudah diambil.
 • Sisa kewajiban tetap didiskontokan menggunakan asumsi yang berlaku (seperti tingkat diskonto, kenaikan gaji, dan mortalita)."
Mengapa nilai biaya jasa lalu bisa muncul dari perbedaan usia pensiun dan mutasi karyawan?;"Perbedaan usia pensiun dan mutasi karyawan dapat berdampak langsung pada perhitungan kewajiban aktuaria karena mengubah periode kerja yang diperhitungkan dan jumlah karyawan yang berhak atas manfaat. 
Jika usia pensiun diperpanjang, maka nilai kini kewajiban (PVDBO) cenderung menurun, karena manfaat dibayarkan lebih lambat dan dicicil selama masa kerja yang lebih panjang. Namun, manfaat total yang akan diterima di akhir masa kerja bisa meningkat akibat masa kerja yang lebih panjang. Perubahan ini diakui sebagai biaya jasa lalu.
Jika terjadi mutasi atau pengurangan karyawan, maka cadangan aktuaria untuk karyawan tersebut dikeluarkan (take-out) dari kewajiban. Apabila perusahaan kemudian membayar manfaat, maka selisih antara cadangan yang dilepas dan pembayaran aktual akan menimbulkan biaya jasa lalu."
Jika terdapat karyawan yang keluar di tahun valuasi, namun realisasinya baru akan dibayarkan di tahun berikutnya, bagaimana perhitungan IPK-nya?;"1. Take-out cadangan saat ini, lalu biaya realisasi di tahun depan
  • Karyawan yang keluar dianggap sudah tidak menjadi bagian dari program pada tahun ini sehingga Cadangan (PVDBO) di-take-out dari kewajiban pada laporan tahun berjalan.
  • Pembayaran aktual di tahun berikutnya dicatat sebagai biaya langsung di laporan laba rugi tahun tersebut, tanpa lagi memengaruhi PVDBO, atau
2. Tetap akui dalam PVDBO sampai manfaat dibayarkan
  • Estimasi pembayaran manfaat tetap dipertahankan dalam PVDBO hingga benar-benar dibayarkan.
  • Kewajiban diakui pada periode saat karyawan keluar.
  • Penyesuaian dilakukan di tahun berikutnya saat pembayaran aktual dilakukan (misalnya jika nilai realisasi berbeda dari estimasi)."
Bagaimana cara menghitung nilai kewajiban suatu perusahaan?;"Nilai kewajiban akhir suatu perusahaan diperoleh dari:
1. Nilai kewajiban awal (jika ada) (+)
2. Beban tahun berjalan (+)
3. Realisasi tahun berjalan (-)
4. Nilai OCI tahun berjalan (+)
5. Iuran DPLK porsi perusahaan tahun berjalan (jika ada) (-)"
Apa yang dimaksud dengan Nilai Kini Kewajiban (PVDBO) perusahaan per tanggal valuasi?;"Nilai Kini Kewajiban (PVDBO) adalah estimasi atau proyeksi dari nilai total kewajiban yang harus dicadangkan oleh perusahaan pada tanggal perhitungan (valuasi aktuaria) untuk memenuhi seluruh manfaat karyawan di masa mendatang.
Perhitungan PVDBO mempertimbangkan faktor diskonto, tingkat kenaikan gaji, harapan hidup, dan probabilitas karyawan tetap bekerja hingga menerima manfaat.

Komponen PVDBO mencakup:
 • Manfaat Pensiun – Nilai kini dari seluruh kewajiban pensiun yang harus disediakan oleh perusahaan.
 • Manfaat Kematian – Nilai kini dari manfaat yang akan diberikan kepada ahli waris jika karyawan meninggal sebelum pensiun.
 • Manfaat Cacat Permanen – Nilai kini dari kewajiban perusahaan jika karyawan mengalami kecacatan permanen.
 • Manfaat Pengunduran Diri – Nilai kini dari manfaat yang akan diberikan kepada karyawan yang berhenti sebelum pensiun.

Catatan: Mengingat ini adalah estimasi, jadi jumlah aktual yang diterima oleh karyawan di masa mendatang mungkin berbeda tergantung pada berbagai faktor, termasuk kinerja investasi, perubahan dalam ketentuan pensiun, dan lainnya. Estimasi ini membantu perusahaan dalam memastikan bahwa ada kecukupan dana untuk memenuhi kewajiban di masa depan."
Apa tingkat diskontonya menggunakan single rate atau multiple rate?;"Untuk karyawan tetap, penetapan diskonto menggunakan multiple rate, dimana besarannya akan berbeda untuk setiap karyawan yang ditentukan berdasarkan rata-rata sisa masa kerja yang diprakirakan untuk setiap karyawan, sedangkan untuk penyajiannya dalam laporan menggunakan tingkat diskonto setelah perhitungan durasi rata-rata tertimbang menggunakan Macaulay Duration.
Sedangkan untuk karyawan kontrak, menggunakan rata-rata diskonto yang diperoleh dari interpolasi sisa masa kerja setiap karyawan."
Mengapa ada perhitungan aktuaria untuk laporan di tahun berjalan, baru bisa dilakukan di awal tahun berikutnya?;"Perhitungan aktuaria mengandalkan tingkat diskonto yang biasanya didasarkan pada yield obligasi pemerintah per tanggal valuasi (misalnya 31 Desember 2024). Namun, data resmi tingkat diskonto ini baru tersedia di awal tahun berikutnya (Januari 2025). Untuk kebutuhan internal, perusahaan dapat menggunakan estimasi tingkat diskonto sementara (misalnya per 30 November), tetapi hasil akhir tetap harus diperbarui setelah data resmi tersedia. 
Kami mengacu kepada spot rate yang dikeluarkan oleh pemerintah melalui PHEI (PT Penilai Harga Efek Indonesia) setiap bulannya. Hal ini dilakukan agar kewajiban imbalan kerja mencerminkan nilai wajar sesuai PSAK 219."
Berapa suku bunga diskonto yang digunakan dalam perhitungan aktuaria untuk tahun valuasi?;Suku bunga diskonto bervariasi tergantung pada kebijakan perusahaan dan regulasi yang berlaku, karena tidak ada standar tunggal yang berlaku di tiap tahun valuasi untuk semua entitas. 
Apa risiko jika perhitungan aktuaria dilakukan menggunakan estimasi tingkat diskonto sebelum data resmi dirilis?;Risiko utamanya adalah perbedaan antara hasil estimasi dan hasil akhir setelah tingkat diskonto resmi dirilis. Jika selisihnya signifikan, laporan keuangan bisa dianggap tidak mencerminkan kewajiban sebenarnya, berpotensi mendapat catatan audit dan menurunkan kepercayaan pemangku kepentingan. Akibatnya, perusahaan harus merevisi laporan dan menghadapi keterlambatan pelaporan ke regulator dan pemegang saham.
Bagaimana jika terdapat realisasi pembayaran untuk karyawan yang sebelumnya belum masuk pada perhitungan IPK?;Pembayaran tersebut tetap diakui dalam perhitungan tahun berjalan. Namun, karena karyawan tersebut tidak termasuk dalam perhitungan IPK sebelumnya, maka nominalnya langsung diakui sebagai biaya jasa lalu.
Apakah data dan kenaikan gaji karyawan kontrak yang diangkat menjadi karyawan tetap tetap perlu dihitung?;Ya, data ini perlu dicatat dan dihitung. Informasi kenaikan gaji untuk karyawan yang diangkat menjadi karyawan tetap sangat penting untuk memperkirakan kewajiban imbalan pasca kerja di masa depan. Perubahan status dari kontrak ke tetap juga dapat memengaruhi asumsi aktuaria terkait kenaikan gaji rata-rata dan durasi masa kerja.
Apakah dasar gaji yang digunakan untuk menghitung imbalan kerja mencakup gaji pokok, tunjangan tetap, dan PPh?;"Dasar gaji yang digunakan dalam perhitungan imbalan kerja bergantung pada kebijakan perusahaan dan regulasi ketenagakerjaan yang berlaku. Secara umum, dalam perhitungan aktuaria sesuai PSAK 219, yang digunakan sebagai dasar adalah Gaji Pokok + Tunjangan Tetap.

• Gaji Pokok → Komponen utama yang diperhitungkan dalam manfaat pasca kerja.
• Tunjangan Tetap → Tunjangan yang diberikan secara rutin, nilainya tetap dan tidak bergantung pada kehadiran atau kinerja, seperti tunjangan jabatan, tunjangan keluarga, atau tunjangan fungsional.
•  PPh 21 (Pajak Penghasilan Pasal 21) → tidak dimasukkan dalam data perhitungan imbalan kerja. Jika PPh 21 ditanggung oleh Perusahaan, maka perhitungan manfaat akan di gross up sesuai dengan ketentuan PPh 21."
Bagaimana menangani karyawan dengan struktur gaji yang berbeda, seperti tanpa tunjangan tetap?;"Apabila ada kondisi, misalnya:
 • Karyawan A: Hanya memiliki gaji pokok → perhitungan aktuaria berdasarkan gaji pokok.
 • Karyawan B: Memiliki gaji pokok + tunjangan tetap (misalnya tunjangan transportasi) → perhitungan mencakup keduanya.

Pendekatan ini memastikan kewajiban imbalan kerja sesuai dengan kebijakan perusahaan dan menghindari kesalahan perhitungan."
Apakah tunjangan variabel juga perlu dihitung jika menjadi bagian dari total gaji pada beberapa karyawan?;"Tunjangan variabel, seperti bonus tahunan atau insentif berbasis kinerja, umumnya tidak dihitung dalam perhitungan aktuaria imbalan kerja karena sifatnya tidak tetap dan tidak bisa diproyeksikan secara konsisten.

Namun, jika perusahaan secara jelas menyatakan bahwa tunjangan variabel ini termasuk dalam perhitungan imbalan pasca kerja, maka harus dimasukkan dalam total gaji.

Contoh:
Jika bonus hanya diberikan berdasarkan kinerja tahunan tanpa ada ketentuan dalam kontrak kerja sebagai tunjangan tetap, maka bonus tersebut tidak perlu dimasukkan dalam perhitungan PSAK 219."
Apakah tingkat dan rata-rata kenaikan gaji dihitung dari Gaji Pokok saja atau Total Gaji (gaji pokok + tunjangan tetap)?;"Tingkat dan rata-rata kenaikan gaji sebaiknya dihitung berdasarkan Total Gaji, yang mencakup Gaji Pokok ditambah dengan Tunjangan Tetap. Hal ini karena PSAK 219 mendefinisikan imbalan kerja berbasis pada komponen-komponen yang berkontribusi terhadap kewajiban. Tunjangan tetap adalah bagian dari total kompensasi yang relevan untuk perhitungan kewajiban imbalan pasca kerja.

Diketahui:
Seorang karyawan memiliki Gaji Pokok sebesar Rp10.000.000 dan Tunjangan Tetap Rp2.000.000. Total Gaji: Rp12.000.000.
Setelah satu tahun, Gaji Pokok naik menjadi Rp11.000.000, dan Tunjangan Tetap tetap Rp2.000.000. Total Gaji Baru: Rp13.000.000.

Pertanyaan:
Berapa tingkat kenaikan gaji berdasarkan Gaji Pokok?
Berapa tingkat kenaikan gaji berdasarkan Total Gaji?

Jawaban:
• Tingkat Kenaikan Gaji Pokok:
Tingkat Kenaikan = (Gaji Pokok Baru − Gaji Pokok Lama) / Gaji Pokok Lama × 100%
Tingkat Kenaikan = (11.000.000 − 10.000.000) / 10.000.000 × 100%
Tingkat Kenaikan = 10%

• Tingkat Kenaikan Total Gaji:
Tingkat Kenaikan = (Total Gaji Baru  − Total Gaji Lama) / Total Gaji Lama × 100%
Tingkat Kenaikan = (13.000.000 − 12.000.000) / 12.000.000 × 100%
Tingkat Kenaikan = 8,33%

Total gaji lebih relevan karena imbalan pasca kerja seperti pesangon atau manfaat pensiun sering dihitung berdasarkan gaji terakhir yang mencakup gaji pokok dan tunjangan tetap. Jika hanya menggunakan gaji pokok, perhitungan bisa menjadi undervalued."
Apakah data karyawan yang mengundurkan diri tetap harus dicatat, meskipun mereka tidak dihitung dalam jumlah total karyawan untuk perhitungan?;Ya, data mereka tetap perlu dicatat dalam file template excel. Hal ini penting untuk mendokumentasikan movement (perubahan status) karyawan, seperti pengunduran diri, sehingga aktuaris dapat melacak perubahan populasi karyawan dari waktu ke waktu. Data ini juga relevan untuk perhitungan terkait biaya jasa lalu atau curtailment, apabila ada kompensasi yang diberikan pada saat pengunduran diri.
Jika jumlah karyawan bertambah tetapi liabilitas dari perhitungan aktuaria lebih kecil dibandingkan tahun sebelumnya, bagaimana cara memastikan Uang Penghargaan Hak (UPH) sudah dihitung dengan benar?;Dalam perhitungan manfaat UUK, jika jumlah karyawan bertambah tetapi liabilitas lebih kecil dibanding tahun sebelumnya, perlu dipastikan bahwa Uang Penghargaan Hak (UPH) sudah dimasukkan dalam formula 15% x (Pesangon + Penghargaan Masa Kerja). Seringkali, laporan aktuaria sebelumnya hanya menyebutkan total perhitungan tanpa secara eksplisit menuliskan UPH secara terpisah. Oleh karena itu, penting untuk memeriksa kembali perumusan manfaat guna memastikan UPH sudah diperhitungkan dengan benar dalam kewajiban aktuaria.
Bagaimana menangani data gaji karyawan dalam perhitungan imbalan kerja, terutama dengan adanya kenaikan gaji di bulan tertentu sesuai PP No. 5 Tahun 2024?;Dalam perhitungan aktuaria, yang digunakan adalah gaji posisi valuasi (misalnya, Desember 2024) karena mencerminkan kondisi laporan keuangan. Jika ada kenaikan gaji di bulan tertentu tahun 2025,  maka sesuai PP No. 5 Tahun 2024, data tersebut tidak langsung digunakan dalam perhitungan kewajiban, tetapi tetap relevan untuk memvalidasi asumsi kenaikan gaji di masa depan. Meskipun gaji Desember menjadi dasar utama, data kenaikan gaji Februari bisa diberikan sebagai tambahan untuk analisis lebih lanjut, seperti mengevaluasi dampaknya terhadap kewajiban atau menyesuaikan asumsi aktuaria. 
Bagaimana penjelasannya jika jumlah karyawan berkurang dan asumsi kenaikan gaji tidak signifikan, namun alokasi biaya justru meningkat cukup besar?;"1. Karyawan tetap: Dalam perhitungan aktuaria, kenaikan gaji menjadi salah satu faktor utama yang meningkatkan nilai kewajiban, karena estimasi manfaat di masa depan bergantung pada besaran gaji terakhir karyawan. Maka dari itu, beban imbalan kerja tetap bisa meningkat walau jumlah karyawannya berkurang.
2. Karyawan kontrak: Terdapat perbedaan antara asumsi awal dan realisasi, baik dari sisi kenaikan gaji maupun komposisi data karyawan. Beberapa kemungkinan penyebab lonjakan biaya di antaranya:
  • Penambahan jumlah karyawan kontrak.
  • Bertambahnya masa kerja rata-rata yang berpengaruh pada nilai manfaat.
  • Perubahan asumsi atau parameter aktuaria seperti tingkat diskonto atau tingkat keluar-masuk karyawan.
  • Penggunaan data aktual menggantikan estimasi yang sebelumnya lebih rendah.

Rekomendasi: Melakukan pengecekan kembali terhadap data gaji tahun sebelumnya, apakah saat itu sudah mencakup seluruh komponen tetap yang relevan. Jika sebelumnya hanya menggunakan gaji pokok sebagai dasar perhitungan, maka hasil perhitungan tahun tersebut kemungkinan terlalu rendah. Ketika datanya diperbaiki di tahun berikutnya menggunakan total gaji, maka kenaikan hasil perhitungan adalah hal yang wajar."
